48,101
49,99
49,103
51,99
53,95
55,91
57,90
59,88
63,84
66,84
68,83
70,80
70,82
78,75
79,65
79,67
81,61
81,70
82,63
84,78
84,80
86,81
90,83
92,84
93,242
101,85
107,88
107,90
118,171
120,182
120,183
120,184
120,185
120,165
121,163
121,171
122,172
123,160
123,163
125,160
133,109
135,142
138,140
138,111
139,111
141,223
140,111
140,138
141,111
142,136
144,134
145,132
148,114
150,114
156,220
159,74
158,220
158,223
161,73
160,223
162,220
166,219
168,266
169,219
169,223
171,219
171,264
172,262
186,263
189,263
192,262
194,259
194,263
196,231
198,231
199,234
200,259
201,239
203,260
204,239
206,246
206,260
206,262
210,258
210,260
215,256
216,217
217,262
217,265
220,262
224,252
227,251
229,250
231,249
237,216
243,264
272,60
304,247
314,223
315,247
317,225
320,228
323,231
323,235
324,250
325,232
326,234
326,236
326,250
327,228
327,253
329,228
329,231
330,254
331,227
331,229
331,231
333,227
333,229
337,226
337,256
338,61
338,64
339,230
341,64
342,234
343,65
344,63
344,65
345,254
346,233
346,251
349,250
352,231
353,68
353,231
353,250
355,231
355,251
356,69
356,231
358,249
359,232
360,72
362,212
362,214
362,243
363,233
363,236
366,76
366,237
368,238
369,209
377,80
412,239
416,238
418,234
418,238
420,238
421,235
421,238
423,235
423,239
425,238
427,238
430,240
433,243
436,245
438,248
441,254
444,259
527,59
528,119
529,60
529,117
532,117
533,64
539,122
547,71
547,73
550,74
554,74
554,77
554,125
558,126
561,85
561,128
561,130
573,103
576,105
576,133
578,134
580,109
580,135
582,135
582,138
585,77
584,113
584,139
585,115
586,137
587,117
588,120
589,124
590,120
590,127
591,140
592,130
594,137
637,81
638,205
638,207
638,211
639,214
639,217
640,80
640,203
641,77
641,207
641,226
641,233
642,211
642,214
642,217
644,227
644,233
648,80
656,71
656,73
656,74
656,96
657,73
657,74
685,161
685,163
689,163
690,166
693,167
697,170
700,169
700,171
702,169
720,126
723,123
724,125
727,127
730,126
730,128
732,127
732,129
42,287
44,284
44,287
50,278
51,275
52,273
55,270
108,295
108,298
111,295
111,298
114,294
118,294
118,296
120,293
120,296
127,291
133,285
142,277
144,274
239,496
243,494
244,492
246,482
246,485
246,489
248,482
248,485
248,488
250,482
250,484
278,276
280,276
282,276
284,273
286,272
287,268
448,264
448,268
448,273
449,271
449,277
521,308
527,303
562,340
565,326
566,322
568,303
568,322
568,332
569,310
569,313
570,308
570,318
572,310
572,313
573,308
574,282
577,283
583,289
588,292
591,295
594,286
597,283
623,292
623,296
625,293
627,281
628,285
628,287
628,291
629,351
630,281
630,284
631,287
634,316
634,318
635,325
636,307
638,301
638,325
638,329
639,307
642,404
644,403
645,403
656,400
658,398
692,284
696,282
696,284
698,280
700,281
704,282
706,312
708,264
708,275
709,266
710,275
711,264
711,266
713,284
713,288
50,620
50,624
51,622
52,624
53,629
55,635
55,641
57,646
57,648
59,645
60,650
62,603
115,581
117,581
119,581
121,580
121,581
122,580
122,581
124,580
124,581
129,577
129,579
131,576
131,578
136,658
140,660
142,659
146,662
149,571
149,574
151,574
168,565
169,563
171,562
173,560
173,563
214,590
226,617
229,615
230,613
230,700
233,611
237,610
239,610
241,609
281,574
284,570
284,573
286,564
286,566
291,559
294,556
296,553
298,608
300,549
302,605
303,599
303,601
303,547
306,545
306,547
307,595
308,545
310,546
369,684
369,686
369,688
373,684
374,683
374,687
376,683
377,686
380,682
383,681
386,634
387,632
389,628
396,620
399,613
400,611
404,608
407,605
407,608
409,602
409,608
409,612
409,615
409,629
409,651
410,598
410,605
410,618
410,619
410,620
410,621
410,627
410,641
411,608
411,612
411,651
412,618
412,619
412,620
412,621
412,635
412,640
413,593
413,604
413,616
413,618
413,619
413,620
413,621
413,624
413,627
413,630
414,591
414,607
416,604
416,607
420,607
421,543
422,603
422,607
424,540
425,537
425,603
426,606
429,602
429,606
431,606
436,602
436,605
438,603
446,657
448,656
450,671
451,655
453,672
468,645
496,618
533,520
534,534
536,537
538,583
542,536
542,538
542,539
543,536
543,538
543,539
542,579
544,536
544,538
544,539
545,536
545,538
545,539
544,577
550,550
552,538
553,534
554,544
554,546
554,548
556,538
556,541
561,534
564,524
564,526
565,520
565,532
566,526
569,536
570,534
573,533
574,536
577,533
580,528
582,528
708,521
708,526
709,515
709,519
709,528
709,530
710,533
710,536
710,538
710,540
712,519
712,521
712,526
712,528
712,538
713,530
713,540
714,538
